Time (s),Altitude (m),latitude,longitude
0.0,0.0,32.990254,-106.974998
0.001411911486904,0.0,32.990254,-106.974998
0.002823822973808,0.0,32.990254,-106.974998
0.005647645947616,-5.9164567891575885e-31,32.990254,-106.974998
0.008471468921424,1.5777218104420236e-30,32.990254,-106.974998
0.011295291895232,6.310887241768095e-30,32.990254,-106.974998
0.039533521633312,-2.4233807008389483e-27,32.990254,-106.974998
0.04091616725126001,0.0,32.990254,-106.974998
0.042298812869208016,4.0389678347315804e-28,32.990254,-106.974998
0.04506410410510403,3.2311742677852644e-27,32.990254,-106.974998
0.047829395341000044,-2.5849394142282115e-26,32.990254,-106.974998
0.05059468657689606,1.0339757656912846e-25,32.990254,-106.974998
0.051562261488095645,-5.169878828456423e-26,32.990254,-106.974998
0.05252983639929523,0.0,32.990254,-106.974998
0.054464986221694406,-1.6543612251060553e-24,32.990254,-106.974998
0.05640013604409358,0.0,32.990254,-106.974998
0.05833528586649275,1.919190708576935e-06,32.99025400000212,-106.974998
0.060667519025142454,1.832572706916835e-05,32.990254000020236,-106.974998
0.06299975218379215,7.07043434431398e-05,32.99025400007807,-106.974998
0.06533198534244186,0.00018387800355412764,32.99025400020302,-106.974998
0.0886543169289389,0.009999414233561765,32.99025401104019,-106.974998
0.09239983399745666,0.014067764815081318,32.990254015531995,-106.974998
0.09523628658098783,0.01779289843557308,32.990254019644844,-106.974998
0.098072739164519,0.022149212964677645,32.99025402445458,-106.974998
0.10090919174805017,0.02720508645256814,32.99025403003669,-106.974998
0.10303401385402747,0.03147917892533769,32.990254034755644,-106.974998
0.10515883596000476,0.03618004825830212,32.990254039945796,-106.974998
0.10728365806598206,0.04130973236851787,32.9902540456094,-106.974998
0.11153330227793663,0.052863021040593594,32.99025405836519,-106.974998
0.11578294648989121,0.06615638210337238,32.99025407304217,-106.974998
0.12003259070184578,0.0812058048088602,32.990254089657995,-106.974998
0.12428223491380036,0.09802762404933674,32.99025410823069,-106.974998
0.1322577322776104,0.1344484266114705,32.99025414844229,-106.974998
0.14023322964142043,0.17727763068364766,32.99025419572931,-106.974998
0.14820872700523047,0.2266234911171523,32.99025425021126,-106.974998
0.1513989259507545,0.24820551783773226,32.990254274039614,-106.974998
0.15458912489627852,0.2708427803768245,32.99025429903304,-106.974998
0.15777932384180254,0.29452483071395363,32.99025432518001,-106.974998
0.16415972173285057,0.34496345452134847,32.99025438086846,-106.974998
0.1705401196238986,0.39942158895041757,32.99025444099479,-106.974998
0.1769205175149466,0.45779268197225065,32.99025450544135,-106.974998
0.18332889805658562,0.5202509161449598,32.99025457440045,-106.974998
0.18973727859822462,0.5864407357369146,32.99025464747953,-106.974998
0.19614565913986362,0.6562538605194277,32.99025472455905,-106.974998
0.19870901135651922,0.6851723989796028,32.99025475648754,-106.974998
0.20127236357317482,0.714647312821171,32.9902547890303,-106.974998
0.20383571578983042,0.744675371515541,32.990254822183786,-106.974998
0.20896242022314163,0.8063895509158101,32.990254890321395,-106.974998
0.21408912465645283,0.8703164305086375,32.99025496090201,-106.974998
0.21921582908976403,0.9364624813272258,32.99025503393277,-106.974998
0.22434253352307523,1.0048315516357889,32.99025510941794,-106.974998
0.27560957785618734,1.8120210872248208,32.99025600062259,-106.974998
0.3268766221892994,2.845986904418851,32.99025714220717,-106.974998
0.36770733280603,3.834450771616048,32.99025823355382,-106.974998
0.3696497076589277,3.885310369896388,32.99025828974308,-106.97499799999954
0.37159208251182535,3.9365059208867024,32.990258346339246,-106.97499799999862
0.37547683221762074,4.039569374590428,32.990258460345835,-106.97499799999584
0.3793615819234161,4.143978424368015,32.9902585759818,-106.97499799999116
0.3832463316292115,4.249734855350653,32.99025869324889,-106.97499799998461
0.4154439476091981,5.178358103773917,32.990259728212266,-106.97499799985701
0.4476415635891847,6.2006834528740455,32.99026087649107,-106.97499799960138
0.4798391795691713,7.317722099271123,32.99026213938891,-106.97499799923625
0.5120367955491579,8.530452994065627,32.99026351838819,-106.97499799879849
0.5428906713117946,9.78309713764179,32.99026495017703,-106.97499799836318
0.5737445470744312,11.124789671995359,32.990266491251795,-106.97499799798113
0.6045984228370679,12.555868550434525,32.99026814301025,-106.9749979977386
0.6354522985997045,14.076702357027216,32.99026990714153,-106.97499799774103
0.6766741533865764,16.249280542956512,32.9902724428544,-106.97499799834559
0.7178960081734483,18.583564352745725,32.99027518812468,-106.9749979999679
0.7591178629603202,21.080384823362692,32.99027814935146,-106.97499800302607
0.8003397177471921,23.740554520041087,32.99028133388297,-106.97499800800648
0.841561572534064,26.564865931105032,32.99028475002956,-106.97499801545746
0.8950734907477296,30.47733605874714,32.99028954543125,-106.97499802983869
0.9485854089613951,34.66934626064062,32.99029476907952,-106.97499805094306
1.0020973271750606,39.142468838612785,32.990300444980484,-106.97499808037722
1.055609245388726,43.89796497475436,32.99030659768218,-106.97499811977693
1.0662689763907418,44.87902947241423,32.99030788229394,-106.97499812895302
1.0769287073927576,45.871282294677485,32.990309186864586,-106.97499813859459
1.0875884383947734,46.874725783679196,32.990310511567536,-106.974998148713
1.0982481693967892,47.88935463292819,32.9903118565596,-106.97499815931832
1.108907900398805,48.9151654516661,32.990313221997006,-106.97499817042038
1.1158769255314633,49.59185421889788,32.990314125805874,-106.97499817795163
1.1228459506641217,50.27331983929707,32.99031503845952,-106.97499818570174
1.1298149757967801,50.959561336888555,32.99031595999825,-106.9749981936731
1.1367840009294385,51.650577744527936,32.990316890461415,-106.97499820186803
1.158295921311301,53.813708427308256,32.990319819297135,-106.97499822859672
